Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN196 | 196 | Navy | Confirmed by the Senate by Voice Vote.
PN195 | 195 | Navy | Confirmed by the Senate by Voice Vote.
PN194 | 194 | Navy | Confirmed by the Senate by Voice Vote.
PN199 | 199 | Navy | Confirmed by the Senate by Voice Vote.
PN203 | 203 | Navy | Confirmed by the Senate by Voice Vote.
PN208 | 208 | Navy | Confirmed by the Senate by Voice Vote.
PN210 | 210 | Navy | Confirmed by the Senate by Voice Vote.
PN211 | 211 | Navy | Confirmed by the Senate by Voice Vote.
PN212 | 212 | Navy | Confirmed by the Senate by Voice Vote.
PN214 | 214 | Navy | Confirmed by the Senate by Voice Vote.
PN213 | 213 | Navy | Confirmed by the Senate by Voice Vote.
PN206 | 206 | Navy | Confirmed by the Senate by Voice Vote.
PN207 | 207 | Navy | Confirmed by the Senate by Voice Vote.
PN209 | 209 | Navy | Confirmed by the Senate by Voice Vote.
PN217 | 217 | Navy | Confirmed by the Senate by Voice Vote.
PN216 | 216 | Navy | Confirmed by the Senate by Voice Vote.
PN215 | 215 | Navy | Confirmed by the Senate by Voice Vote.
PN218 | 218 | Navy | Confirmed by the Senate by Voice Vote.
PN219 | 219 | Navy | Confirmed by the Senate by Voice Vote.
PN222 | 222 | Navy | Confirmed by the Senate by Voice Vote.
PN221 | 221 | Navy | Confirmed by the Senate by Voice Vote.
PN220 | 220 | Navy | Confirmed by the Senate by Voice Vote.
PN232 | 232 | Navy | Confirmed by the Senate by Voice Vote.
PN224 | 224 | Navy | Confirmed by the Senate by Voice Vote.
PN225 | 225 | Navy | Confirmed by the Senate by Voice Vote.
PN223 | 223 | Navy | Confirmed by the Senate by Voice Vote.
PN230 | 230 | Navy | Confirmed by the Senate by Voice Vote.
PN226 | 226 | Navy | Confirmed by the Senate by Voice Vote.
PN235 | 235 | Navy | Confirmed by the Senate by Voice Vote.
PN227 | 227 | Navy | Confirmed by the Senate by Voice Vote.
PN228 | 228 | Navy | Confirmed by the Senate by Voice Vote.
PN229 | 229 | Navy | Confirmed by the Senate by Voice Vote.
PN231 | 231 | Navy | Confirmed by the Senate by Voice Vote.
PN233 | 233 | Navy | Confirmed by the Senate by Voice Vote.
PN234 | 234 | Navy | Confirmed by the Senate by Voice Vote.
PN241 | 241 | Navy | Confirmed by the Senate by Voice Vote.
PN236 | 236 | Navy | Confirmed by the Senate by Voice Vote.
PN243 | 243 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN240 | 240 | Navy | Confirmed by the Senate by Voice Vote.
PN239 | 239 | Navy | Confirmed by the Senate by Voice Vote.
PN237 | 237 | Navy | Confirmed by the Senate by Voice Vote.
PN238 | 238 | Navy | Confirmed by the Senate by Voice Vote.
PN242 | 242 | Space Force | Confirmed by the Senate by Voice Vote.
PN248 | 248 | Air Force | Confirmed by the Senate by Voice Vote.
PN253 | 253 | Army | Confirmed by the Senate by Voice Vote.
PN257 | 257 | Navy | Confirmed by the Senate by Voice Vote.
PN261 | 261 | Navy | Confirmed by the Senate by Voice Vote.
PN260 | 260 | Navy | Confirmed by the Senate by Voice Vote.
PN259 | 259 | Navy | Confirmed by the Senate by Voice Vote.
PN258 | 258 | Navy | Confirmed by the Senate by Voice Vote.
PN256 | 256 | Navy | Confirmed by the Senate by Voice Vote.
PN255 | 255 | Navy | Confirmed by the Senate by Voice Vote.
PN254 | 254 | Navy | Confirmed by the Senate by Voice Vote.
PN252 | 252 | Army | Confirmed by the Senate by Voice Vote.
PN250 | 250 | Army | Confirmed by the Senate by Voice Vote.
PN249 | 249 | Air Force | Confirmed by the Senate by Voice Vote.
PN273 | 273 | Army | Confirmed by the Senate by Voice Vote.
PN274 | 274 | Army | Confirmed by the Senate by Voice Vote.
PN275 | 275 | Air Force | Confirmed by the Senate by Voice Vote.
PN262 | 262 | Navy | Confirmed by the Senate by Voice Vote.
PN263 | 263 | Navy | Confirmed by the Senate by Voice Vote.
PN264 | 264 | Navy | Confirmed by the Senate by Voice Vote.
PN265 | 265 | Navy | Confirmed by the Senate by Voice Vote.
PN266 | 266 | Navy | Confirmed by the Senate by Voice Vote.
PN267 | 267 | Navy | Confirmed by the Senate by Voice Vote.
PN268 | 268 | Navy | Confirmed by the Senate by Voice Vote.
PN269 | 269 | Navy | Confirmed by the Senate by Voice Vote.
PN270 | 270 | Space Force | Confirmed by the Senate by Voice Vote.
PN272 | 272 | Navy | Confirmed by the Senate by Voice Vote.
PN278 | 278 | Army | Confirmed by the Senate by Voice Vote.
PN284 | 284 | Navy | Confirmed by the Senate by Voice Vote.
PN283 | 283 | Navy | Confirmed by the Senate by Voice Vote.
PN282 | 282 | Navy | Confirmed by the Senate by Voice Vote.
PN281 | 281 | Navy | Confirmed by the Senate by Voice Vote.
PN279 | 279 | Army | Confirmed by the Senate by Voice Vote.
PN286 | 286 | Space Force | Confirmed by the Senate by Voice Vote.
PN277 | 277 | Army | Confirmed by the Senate by Voice Vote.
PN276 | 276 | Air Force | Confirmed by the Senate by Voice Vote.
PN280 | 280 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN285 | 285 | Navy | Confirmed by the Senate by Voice Vote.
PN350 | 350 | Air Force | Confirmed by the Senate by Voice Vote.
PN347 | 347 | Army | Confirmed by the Senate by Voice Vote.
PN351 | 351 | Air Force | Confirmed by the Senate by Voice Vote.
PN353 | 353 | Army | Confirmed by the Senate by Voice Vote.
PN349 | 349 | Army | Confirmed by the Senate by Voice Vote.
PN365 | 365 | Army | Confirmed by the Senate by Voice Vote.
PN356 | 356 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN359 | 359 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN360 | 360 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN362 | 362 | Navy | Confirmed by the Senate by Voice Vote.
PN358 | 358 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN355 | 355 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN357 | 357 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN366 | 366 | Army | Confirmed by the Senate by Voice Vote.
PN363 | 363 | Army | Confirmed by the Senate by Voice Vote.
PN364 | 364 | Army | Confirmed by the Senate by Voice Vote.
PN11-12 | 11 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 72 - 28. Record Vote Number: 53.
PN11-4 | 11 | Department of Labor | Confirmed by the Senate by Yea-Nay Vote. 67 - 32. Record Vote Number: 111.
PN13-7 | 13 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 327.
PN141-11 | 141 | Executive Office of the President | Received message of withdrawal of nomination from the President.
PN12-40 | 12 | Department of Homeland Security | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 321.
PN25-1 | 25 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 57 - 40. Record Vote Number: 316.
PN246-16 | 246 | Department of Defense | Received message of withdrawal of nomination from the President.
PN26-43 | 26 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 41. Record Vote Number: 297.
PN141-24 | 141 | Department of State | Received message of withdrawal of nomination from the President.
PN26-28 | 26 | Department of Justice | Received message of withdrawal of nomination from the President.
PN246-7 | 246 | Department of Agriculture | Received message of withdrawal of nomination from the President.
PN129-13 | 129 | National Indian Gaming Commission | Received message of withdrawal of nomination from the President.
PN26-20 | 26 | Department of Housing and Urban Development | Confirmed by the Senate by Yea-Nay Vote. 51 - 43. Record Vote Number: 303.
PN55-47 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 57 - 38. Record Vote Number: 292.
PN25-19 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 59 - 36. Record Vote Number: 285.
PN26-4 | 26 | Department of Veterans Affairs | Received message of withdrawal of nomination from the President.
PN50 | 50 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN116 | 116 | Air Force | Confirmed by the Senate by Voice Vote.
PN117 | 117 | Air Force | Confirmed by the Senate by Voice Vote.
PN124 | 124 | Navy | Confirmed by the Senate by Voice Vote.
PN125 | 125 | Navy | Confirmed by the Senate by Voice Vote.
PN123 | 123 | Navy | Confirmed by the Senate by Voice Vote.
PN126 | 126 | Space Force | Confirmed by the Senate by Voice Vote.
PN122 | 122 | Army | Confirmed by the Senate by Voice Vote.
PN121 | 121 | Army | Confirmed by the Senate by Voice Vote.
PN132-1 | 132 | Air Force | Confirmed by the Senate by Voice Vote.
PN134 | 134 | Army | Confirmed by the Senate by Voice Vote.
PN135 | 135 | Army | Confirmed by the Senate by Voice Vote.
PN136 | 136 | Army | Confirmed by the Senate by Voice Vote.
PN137 | 137 | Army | Confirmed by the Senate by Voice Vote.
PN151 | 151 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN152 | 152 | Navy | Confirmed by the Senate by Voice Vote.
PN24-4 | 24 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 45. Record Vote Number: 261.
PN25-11 | 25 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 258.
PN12-38 | 12 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 46. Record Vote Number: 252.
PN46 | 46 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN41 | 41 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN65 | 65 | Air Force | Confirmed by the Senate by Voice Vote.
PN66 | 66 | Air Force | Confirmed by the Senate by Voice Vote.
PN64 | 64 | Air Force | Confirmed by the Senate by Voice Vote.
PN63 | 63 | Air Force | Confirmed by the Senate by Voice Vote.
PN67 | 67 | Air Force | Confirmed by the Senate by Voice Vote.
PN68 | 68 | Air Force | Confirmed by the Senate by Voice Vote.
PN71 | 71 | Air Force | Confirmed by the Senate by Voice Vote.
PN69 | 69 | Air Force | Confirmed by the Senate by Voice Vote.
PN70 | 70 | Air Force | Confirmed by the Senate by Voice Vote.
PN75 | 75 | Air Force | Confirmed by the Senate by Voice Vote.
PN74 | 74 | Air Force | Confirmed by the Senate by Voice Vote.
PN73 | 73 | Air Force | Confirmed by the Senate by Voice Vote.
PN72 | 72 | Air Force | Confirmed by the Senate by Voice Vote.
PN76 | 76 | Air Force | Confirmed by the Senate by Voice Vote.
PN77 | 77 | Air Force | Confirmed by the Senate by Voice Vote.
PN78 | 78 | Air Force | Confirmed by the Senate by Voice Vote.
PN82 | 82 | Air Force | Confirmed by the Senate by Voice Vote.
PN80 | 80 | Air Force | Confirmed by the Senate by Voice Vote.
PN79 | 79 | Air Force | Confirmed by the Senate by Voice Vote.
PN81 | 81 | Air Force | Confirmed by the Senate by Voice Vote.
PN86 | 86 | Air Force | Confirmed by the Senate by Voice Vote.
PN87 | 87 | Air Force | Confirmed by the Senate by Voice Vote.
PN84 | 84 | Air Force | Confirmed by the Senate by Voice Vote.
PN85 | 85 | Air Force | Confirmed by the Senate by Voice Vote.
PN83 | 83 | Air Force | Confirmed by the Senate by Voice Vote.
PN96 | 96 | Army | Confirmed by the Senate by Voice Vote.
PN105 | 105 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN97 | 97 | Army | Confirmed by the Senate by Voice Vote.
PN94 | 94 | Army | Confirmed by the Senate by Voice Vote.
PN107 | 107 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN88 | 88 | Air Force | Confirmed by the Senate by Voice Vote.
PN106 | 106 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN104 | 104 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN93 | 93 | Army | Confirmed by the Senate by Voice Vote.
PN92 | 92 | Army | Confirmed by the Senate by Voice Vote.
PN91 | 91 | Army | Confirmed by the Senate by Voice Vote.
PN90 | 90 | Army | Confirmed by the Senate by Voice Vote.
PN102 | 102 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN95 | 95 | Army | Confirmed by the Senate by Voice Vote.
PN112 | 112 | Navy | Confirmed by the Senate by Voice Vote.
PN110 | 110 | Navy | Confirmed by the Senate by Voice Vote.
PN113 | 113 | Navy | Confirmed by the Senate by Voice Vote.
PN108 | 108 | Navy | Confirmed by the Senate by Voice Vote.
PN109 | 109 | Navy | Confirmed by the Senate by Voice Vote.
PN111 | 111 | Navy | Confirmed by the Senate by Voice Vote.
PN114 | 114 | Coast Guard | Confirmed by the Senate by Voice Vote.
PN25-50 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 244.
PN22-10 | 22 | Department of Defense | Received message of withdrawal of nomination from the President.
PN12-10 | 12 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 242.
PN141-1 | 141 | Office of Special Counsel | Received message of withdrawal of nomination from the President.
PN25-32 | 25 | Bureau of Consumer Financial Protection | Received message of withdrawal of nomination from the President.
PN11-8 | 11 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 52 - 48. Record Vote Number: 52.
PN12-32 | 12 | Public Health Service | Received message of withdrawal of nomination from the President.
PN20 | 20 | Social Security Administration | Confirmed by the Senate by Yea-Nay Vote. 53 - 47. Record Vote Number: 234.
PN26-29 | 26 | Department of Veterans Affairs | Received message of withdrawal of nomination from the President.
PN55-39 | 55 | Department of Transportation | Received message of withdrawal of nomination from the President.
PN55-27 | 55 | Department of State | Received message of withdrawal of nomination from the President.
PN26-18 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 83 - 14. Record Vote Number: 221.
PN24-5 | 24 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 59 - 39. Record Vote Number: 217.
PN54-5 | 54 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 67 - 29. Record Vote Number: 215.
PN26-3 | 26 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 60 - 36. Record Vote Number: 219.
PN11-13 | 11 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 99 - 0. Record Vote Number: 8.
PN25-51 | 25 | Department of the Interior | Received message of withdrawal of nomination from the President.
PN12-18 | 12 | Securities and Exchange Commission | Confirmed by the Senate by Yea-Nay Vote. 52 - 44. Record Vote Number: 205.
PN25-20 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 53 - 46. Record Vote Number: 201.
PN25-18 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 60 - 37. Record Vote Number: 202.
PN25-22 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 49 - 46. Record Vote Number: 203.
PN25-6 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 45. Record Vote Number: 204.
PN25-14 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 66 - 32. Record Vote Number: 195.
PN7 | 7 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN9 | 9 | Navy | Confirmed by the Senate by Voice Vote.
PN2 | 2 | Army | Confirmed by the Senate by Voice Vote.
PN4 | 4 | Army | Confirmed by the Senate by Voice Vote.
PN3 | 3 | Army | Confirmed by the Senate by Voice Vote.
PN8 | 8 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN1 | 1 | Air Force | Confirmed by the Senate by Voice Vote.
PN5 | 5 | Army | Confirmed by the Senate by Voice Vote.
PN6 | 6 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN49 | 49 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN42 | 42 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN40 | 40 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN39 | 39 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN37 | 37 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN36 | 36 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN35 | 35 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN33 | 33 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN32 | 32 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN44 | 44 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN45 | 45 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN47 | 47 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN48 | 48 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN43 | 43 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN51 | 51 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN56 | 56 | Army | Confirmed by the Senate by Voice Vote.
PN12-34 | 12 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 167.
PN12-11 | 12 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 168.
PN12-39 | 12 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 163.
PN25-56 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 157.
PN55-31 | 55 | Department of State | Received message of withdrawal of nomination from the President.
PN11-21 | 11 | Department of State | Received message of withdrawal of nomination from the President.
PN55-3 | 55 | National Aeronautics and Space Administration | Received message of withdrawal of nomination from the President.
PN11-20 | 11 | Department of State | Received message of withdrawal of nomination from the President.
PN12-13 | 12 | Department of Defense | Received message of withdrawal of nomination from the President.
